ID ,name ,category ,main_category ,currency ,deadline ,goal ,launched ,pledged ,state ,backers ,country ,usd pledged 
1663789938,KCH COWORKING SPACE,Makerspaces,Technology,USD,2016-11-24 20:24:00,5000,2016-10-24 21:23:02,21,failed,2,US,20
1430617663,VINYL BLVD debut JAZZ CD (Canceled),Jazz,Music,USD,2014-11-15 06:00:00,12000,2014-10-28 07:05:15,610,canceled,8,US,610
360204783,An Asshole With a Typewriter chapbook!,Poetry,Publishing,USD,2013-04-28 00:41:37,325,2013-03-28 23:41:37,459,successful,24,US,459
99110003,The Sizzl,Web,Journalism,AUD,2015-10-29 04:41:10,60000,2015-09-29 05:41:10,0,failed,0,AU,0
1077010526,Vlogging From The End Of The World,Webseries,Film & Video,USD,2016-09-10 09:15:24,10000,2016-08-16 09:15:24,10037,successful,37,US,0
275833163,Commonplace Book: Your key to Renaissance inventiveness,Design,Design,USD,2015-10-28 19:42:25,5000,2015-09-28 20:42:25,339,failed,8,US,339
21418626,Fire Breathing Dragon Boat - Lakes of Fire and Beyond!,Public Art,Art,USD,2012-06-16 06:59:00,2500,2012-05-29 18:46:38,2550,successful,41,US,2550
657726192,THE CHRISTMAS THAT DAN WON THE BEST LIGHTS CONTEST,Fiction,Publishing,USD,2014-11-07 20:26:59,2213,2014-10-08 20:26:59,548,failed,21,US,548
331443012,Alan's Life Long Dream,Music,Music,USD,2014-07-11 18:30:14,100,2014-05-27 18:30:14,6,failed,2,US,6
1405855457,'Impossible Tales' - three timeless short films,Drama,Film & Video,USD,2016-06-27 00:59:42,19656,2016-05-28 00:59:42,31,failed,3,US,31
1153225994,Make Wonderland a Reality,Performance Art,Art,USD,2013-03-26 00:54:00,1000,2013-02-21 07:32:33,2063,successful,32,US,2063
346823096,Project Sex.Ed,Public Art,Art,SEK,2016-06-19 13:42:40,35000,2016-04-20 13:42:40,38597,successful,90,SE,4757.28558604
1132280175,The Hanged God: Short Story and Art Print,Illustration,Art,USD,2016-11-26 05:00:00,400,2016-10-31 17:09:20,765,successful,14,US,275
291927501,Unchanging Mountains: the Timelapse Project,Photography,Photography,USD,2013-05-06 07:00:00,2016,2013-04-19 03:32:42,40,failed,2,US,40
1459481508,Be a Part of Our First Full Length Record!,Music,Music,USD,2011-08-12 20:41:34,4000,2011-06-28 20:41:34,4585,successful,77,US,4585
997799237,THE NOTOW APP,Apps,Technology,USD,2015-10-02 20:13:45,15000,2015-09-02 20:13:45,50,failed,2,US,50
1891745968,8IGHTY/2WNTY Training Intensive,Residencies,Dance,USD,2015-10-16 13:31:43,8000,2015-08-17 13:31:43,0,failed,0,US,0
1661599492,"Redefining Hip Hop, Defining a Generation",Hip-Hop,Music,USD,2014-09-09 02:35:38,5000,2014-07-11 02:35:38,283,failed,7,US,283
907914569,Expand $10 T-shirt Line to Full Collection,Fashion,Fashion,USD,2012-06-30 21:04:09,1000,2012-05-31 21:04:09,0,failed,0,US,0
676733164,Glimpse...,Shorts,Film & Video,USD,2016-06-14 06:56:09,1500,2016-05-14 06:56:09,203,failed,4,US,203
1199032467,Living in a van down by the river....,Pop,Music,USD,2011-07-20 18:01:00,2500,2011-05-23 02:51:31,2844.33,successful,63,US,2844.33
114035482,Weather Me EP by Jared Caraway: ¡Viva Alternative Rock!,Indie Rock,Music,USD,2016-06-09 14:44:58,3500,2016-05-10 14:44:58,1380,failed,28,US,1380
1575507596,The Extractory -  Vanilla Products delivered by Christmas!,Small Batch,Food,USD,2015-11-12 23:12:02,1500,2015-10-13 23:12:02,1920,successful,17,US,1920
126449703,Sunday's Mother,Shorts,Film & Video,USD,2011-07-06 03:00:00,4000,2011-06-15 02:16:59,5015,successful,21,US,5015
925240618,SAWAH - World Dance & Music Production,Dance,Dance,CAD,2013-11-09 01:36:52,12000,2013-10-10 01:36:52,15015.1,successful,146,CA,14551.969000315
1699378256,Booster Pack Subscription Box,Comics,Comics,USD,2016-11-25 22:22:09,875,2016-10-26 22:22:09,5,failed,1,US,0
308293436,The Flightline Nation.,Film & Video,Film & Video,USD,2012-01-22 22:32:01,93500,2011-11-23 22:32:01,6586,failed,73,US,6586
609841864,Elenora Fagan 1st Album,Music,Music,USD,2011-07-18 07:16:26,4000,2011-05-04 07:16:26,100,failed,4,US,100
963520115,EJiPT,Tabletop Games,Games,USD,2015-05-16 03:00:00,15000,2015-04-13 19:01:04,7146.84,failed,203,US,7146.84
398738704,Help my !,Theater,Theater,EUR,2016-12-14 02:10:00,12000,2016-11-18 02:33:21,66,live,5,AT,0
1318842329,Rivalry Dice,Tabletop Games,Games,USD,2012-09-28 20:57:27,3375,2012-09-07 20:57:27,3401,successful,62,US,3401
1536447886,COPY: Chalice Agenda LP,Electronic Music,Music,USD,2015-05-08 07:43:48,1500,2015-04-08 07:43:48,1802,successful,72,US,1802
1538267367,All Bunnies Eat Carrots (Canceled),Tabletop Games,Games,USD,2014-04-26 19:04:24,18000,2014-03-22 18:04:24,1009,canceled,46,US,1009
2015212442,"""The Day The Bully Cried""",Children's Books,Publishing,USD,2013-08-30 04:04:23,5000,2013-07-31 04:04:23,5010,successful,43,US,5010
140604317,Fruit Farm of the Spirit,Children's Books,Publishing,USD,2016-01-10 18:50:00,35000,2015-12-21 17:49:47,0,failed,0,US,0
2079974237,The Munitionettes,Plays,Theater,GBP,2015-09-04 11:27:53,1000,2015-08-07 11:27:53,1020,successful,42,GB,1592.617749
450244954,Omari Clothing,Apparel,Fashion,GBP,2014-12-14 00:44:29,9500,2014-11-04 00:44:29,0,failed,0,GB,0
1140116497,"""The Army Manual For Spiritual Warfare",Nonfiction,Publishing,USD,2012-08-16 14:57:47,18000,2012-07-17 14:57:47,330,failed,10,US,330
1671608384,the Karms - California Checkers (Canceled),Tabletop Games,Games,USD,2014-10-12 23:53:54,10000,2014-09-12 23:53:54,1158,canceled,19,US,1158
1437519930,Jump.,Jewelry,Fashion,GBP,2015-03-20 17:14:06,5500,2015-02-18 18:14:06,0,failed,0,GB,0
514769129,"""A Different Tree"" Extends its branches!",Shorts,Film & Video,USD,2013-08-10 20:26:56,2500,2013-07-11 20:26:56,2797,successful,71,US,2797
868890138,Sur in Seattle,World Music,Music,USD,2016-03-27 22:36:26,6000,2016-01-27 22:36:26,5,failed,3,US,5
224019756,"""The Magic Blanket"": Book and Blanket set",Art Books,Publishing,USD,2016-10-01 15:03:13,25000,2016-09-01 15:03:13,100,failed,3,US,50
598413565,Last Trip to the Moon,Jazz,Music,USD,2016-01-29 20:53:48,4500,2015-12-15 20:53:48,5157,successful,35,US,5157
1117269842,Life Size Steel Sculpture Project,Sculpture,Art,USD,2012-12-07 01:15:34,1500,2012-11-07 01:15:34,50,failed,1,US,50
1802065257,The Box of Tricks Tour,Theater,Theater,GBP,2015-09-09 11:21:25,300,2015-08-19 11:21:25,300,successful,10,GB,467.562828
200897381,Liz Barak recording a second album and going on tour,Indie Rock,Music,EUR,2016-03-17 18:02:31,8000,2016-02-16 19:02:31,60,failed,6,DE,67.2979212
1158653662,"""The Ingenious Gentleman"" A Film Based on Don Quixote",Film & Video,Film & Video,USD,2014-03-10 18:03:28,30000,2014-02-03 19:03:28,744.39,failed,31,US,744.39
2130234466,Chef Made Seasoned Sea Salt,Food,Food,USD,2013-03-14 05:02:46,2500,2013-02-12 06:02:46,130,failed,8,US,130
1959032056,College GameDay Football Action Figures (Canceled),Games,Games,USD,2015-10-02 02:00:00,37000,2015-09-01 04:48:37,145,canceled,3,US,145
157235461,£1/under a dollar Realistic Art!,Illustration,Art,GBP,2015-04-22 17:53:32,200,2015-03-23 16:53:32,24,failed,4,GB,35.888226
1806969803,Crafts and Threads,Embroidery,Crafts,USD,2015-04-30 06:59:00,500,2015-04-15 10:34:37,1,failed,1,US,1
1783374740,"In-Browser, Lip Syncing 3D Avatar Animation Editor",Web,Technology,USD,2014-11-07 15:24:50,80000,2014-10-08 15:24:50,2090,failed,16,US,2090
1149733414,Forever Free - Shelly & Robert Conn,Faith,Music,USD,2015-06-16 06:11:00,8000,2015-05-14 01:49:29,8840,successful,94,US,8840
821893203,Giomilla: Pet houses for home furnishing,Product Design,Design,EUR,2016-11-08 12:20:58,6000,2016-10-08 12:20:58,251,canceled,2,IT,280.51427628
2053419500,Living Here: a Kamchatka Tale. ,Documentary,Film & Video,USD,2010-07-06 18:00:00,6000,2010-05-27 19:43:08,6051,successful,39,US,6051
32201770,Dark Black,Shorts,Film & Video,GBP,2013-04-02 01:00:00,5000,2013-03-11 17:07:53,335,failed,6,GB,499.8545184
1614511107,The African Race - an exploration of the continent where life began ,Documentary,Film & Video,USD,2009-10-26 21:51:00,20000,2009-07-29 19:02:01,435,failed,10,US,435
1172806089,My Boy Band (XY) is going WIRELESS! Get in on the sonic revolution today.,Indie Rock,Music,USD,2010-05-21 05:00:00,8500,2010-04-06 12:03:50,9178,successful,152,US,9178
215318059,Beast Pro Apparel Start up,Apparel,Fashion,USD,2016-09-17 23:09:49,30000,2016-07-19 23:09:49,1,failed,1,US,0
35578104,"Esther Salts - Vegan Bath Bombs, Soaps and Lotions",Crafts,Crafts,AUD,2015-08-02 05:29:36,1500,2015-07-03 05:29:36,183,failed,8,AU,141.30357627
564701976,WACPSN v 1.0 Mobile App | Open Source | Android & Apple,Apps,Technology,GBP,2014-08-24 17:02:40,10000,2014-06-25 17:02:40,0,failed,0,GB,0
904599340,Tomo,Apps,Technology,USD,2014-11-27 03:11:50,15000,2014-09-28 03:11:50,516,failed,9,US,516
662443176,DIVINE DISCOVERIES PRODUCTIONS PRESENTS,Documentary,Film & Video,USD,2015-08-08 22:22:21,48500,2015-07-09 22:22:21,0,failed,0,US,0
932393476,Go GloSpex! (Suspended),Product Design,Design,USD,2012-03-03 04:58:48,10000,2012-02-02 04:58:48,36211.49,suspended,1023,US,36211.49
770938720,Innocent Revenge - Controversial Feature Film (Canceled),Narrative Film,Film & Video,USD,2011-07-05 19:44:40,3000,2011-05-21 19:44:40,0,canceled,0,US,0
1032675809,View Into The Interracial World ,Documentary,Film & Video,USD,2010-01-29 06:59:00,36000,2009-11-01 02:27:54,180,failed,3,US,180
272916610,Help me fund my food truck!,Food Trucks,Food,USD,2016-05-06 09:00:00,4000,2016-04-05 03:52:47,4148,successful,44,US,4148
239737055,"Dog lovers unite - Reign on the Scarecrow, a dog's tail",Fiction,Publishing,USD,2016-06-29 21:05:32,5000,2016-05-30 21:05:32,1,failed,1,US,1
1452566492,"Build It Up, Caribbeana Radio Community Studio",Sound,Technology,USD,2016-01-01 13:29:57,2600,2015-12-02 13:29:57,25,failed,1,US,25
1634766919,"The ""Futility Feature""",Narrative Film,Film & Video,USD,2013-05-22 20:12:19,10000,2013-04-17 20:12:19,2448,failed,18,US,2448
1108454205,Intellectual Vertigo 15th floor salon: war with the obvious,Art,Art,USD,2016-03-01 19:10:55,14771,2016-01-28 19:10:55,15,failed,1,US,15
1271847225,907 Gamers Gear Project,Video Games,Games,USD,2014-05-01 01:22:07,550,2014-04-01 01:22:07,7002,successful,85,US,7002
1370615352,Tamanroar (Canceled),Tabletop Games,Games,USD,2015-11-15 01:15:09,8500,2015-09-16 01:15:09,191,canceled,5,US,191
875146849,The Beginning of Me,Poetry,Publishing,USD,2013-08-08 13:53:28,1700,2013-07-09 13:53:28,1,failed,1,US,1
1309079497,Breakfast in a Box (Canceled),Food,Food,GBP,2015-05-20 14:00:00,2000,2015-04-14 12:36:00,2137,canceled,65,GB,3124.45628378
910323452,BePrideful Fashions and Runway Show,Fashion,Fashion,USD,2012-10-01 00:01:00,10000,2012-09-04 06:39:44,0,failed,0,US,0
1456736568,Saradomin - The greatest remake built from the ground up.,Video Games,Games,USD,2015-03-07 23:16:42,1000,2015-02-05 23:16:42,112,failed,3,US,112
2036160830,Let's Chat! with Currie Terrell #LetsKickCurrie,Comedy,Film & Video,USD,2015-08-20 09:14:52,1600,2015-07-31 09:14:52,2815,successful,84,US,2815
1409457993,The BESPOKE GEEK: Cosplay for Everyday,Tabletop Games,Games,GBP,2015-09-04 21:00:10,2500,2015-08-05 21:00:10,2503,successful,57,GB,3903.66082846
1349919270,The Inheritance,Documentary,Film & Video,NZD,2013-12-28 09:19:58,7500,2013-12-03 09:19:58,10938,successful,109,NZ,8959.19952906
80022953,Programmable Neon,Hardware,Technology,GBP,2016-10-21 18:36:37,345000,2016-08-28 18:36:37,3175,canceled,9,GB,2325.2667177
